Grupo ocupación;Fecha corte;DISPONIBLE;OCUPADA
OCUPACIÓN HOSPITALIZACIÓN;16/06/2020 3:02:03 a.m.;87;162
OCUPACIÓN HOSPITALIZACIÓN;16/06/2020 6:01:26 a.m.;83;166
OCUPACIÓN HOSPITALIZACIÓN;17/06/2020 3:02:40 a.m.;72;176
OCUPACIÓN HOSPITALIZACIÓN;17/06/2020 6:00:11 a.m.;66;182
OCUPACIÓN HOSPITALIZACIÓN;18/06/2020 3:02:08 a.m.;73;176
OCUPACIÓN HOSPITALIZACIÓN;18/06/2020 6:01:41 a.m.;72;177
OCUPACIÓN HOSPITALIZACIÓN;19/06/2020 3:03:03 a.m.;88;161
OCUPACIÓN HOSPITALIZACIÓN;19/06/2020 6:02:44 a.m.;86;163
OCUPACIÓN HOSPITALIZACIÓN;20/06/2020 3:00:10 a.m.;84;165
OCUPACIÓN HOSPITALIZACIÓN;20/06/2020 6:00:23 a.m.;82;167
OCUPACIÓN HOSPITALIZACIÓN;21/06/2020 3:00:14 a.m.;83;166
OCUPACIÓN HOSPITALIZACIÓN;21/06/2020 6:00:39 a.m.;79;170
OCUPACIÓN HOSPITALIZACIÓN;22/06/2020 3:00:29 a.m.;91;157
OCUPACIÓN HOSPITALIZACIÓN;22/06/2020 6:00:24 a.m.;84;164
OCUPACIÓN HOSPITALIZACIÓN;23/06/2020 3:00:23 a.m.;53;197
OCUPACIÓN HOSPITALIZACIÓN;23/06/2020 6:00:22 a.m.;51;199
OCUPACIÓN HOSPITALIZACIÓN;24/06/2020 3:00:26 a.m.;63;191
OCUPACIÓN HOSPITALIZACIÓN;24/06/2020 6:00:26 a.m.;60;194
OCUPACIÓN HOSPITALIZACIÓN;25/06/2020 3:00:48 a.m.;55;199
OCUPACIÓN HOSPITALIZACIÓN;25/06/2020 6:00:22 a.m.;49;205
OCUPACIÓN HOSPITALIZACIÓN;26/06/2020 3:00:14 a.m.;56;196
OCUPACIÓN HOSPITALIZACIÓN;26/06/2020 6:00:11 a.m.;54;198
OCUPACIÓN HOSPITALIZACIÓN;27/06/2020 3:00:19 a.m.;56;196
OCUPACIÓN HOSPITALIZACIÓN;27/06/2020 6:00:16 a.m.;54;198
OCUPACIÓN HOSPITALIZACIÓN;28/06/2020 3:00:18 a.m.;62;189
OCUPACIÓN HOSPITALIZACIÓN;28/06/2020 6:00:33 a.m.;55;197
OCUPACIÓN HOSPITALIZACIÓN;29/06/2020 3:00:31 a.m.;60;196
OCUPACIÓN HOSPITALIZACIÓN;29/06/2020 6:00:10 a.m.;56;200
OCUPACIÓN HOSPITALIZACIÓN;1/07/2020 3:00:28 a.m.;29;223
OCUPACIÓN HOSPITALIZACIÓN;1/07/2020 6:00:10 a.m.;28;224
OCUPACIÓN HOSPITALIZACIÓN;2/07/2020 3:00:29 a.m.;23;199
OCUPACIÓN HOSPITALIZACIÓN;2/07/2020 6:00:08 a.m.;20;202
OCUPACIÓN HOSPITALIZACIÓN;3/07/2020 3:00:24 a.m.;33;194
OCUPACIÓN HOSPITALIZACIÓN;3/07/2020 6:00:20 a.m.;30;197
OCUPACIÓN HOSPITALIZACIÓN;4/07/2020 3:00:11 a.m.;32;195
OCUPACIÓN HOSPITALIZACIÓN;4/07/2020 6:00:32 a.m.;27;200
OCUPACIÓN HOSPITALIZACIÓN;5/07/2020 3:00:10 a.m.;39;189
OCUPACIÓN HOSPITALIZACIÓN;5/07/2020 6:00:25 a.m.;37;191
OCUPACIÓN HOSPITALIZACIÓN;6/07/2020 3:00:13 a.m.;32;195
OCUPACIÓN HOSPITALIZACIÓN;6/07/2020 6:00:20 a.m.;24;203
OCUPACIÓN HOSPITALIZACIÓN;7/07/2020 3:00:21 a.m.;21;206
OCUPACIÓN HOSPITALIZACIÓN;7/07/2020 6:00:26 a.m.;13;214
OCUPACIÓN HOSPITALIZACIÓN;8/07/2020 3:00:11 a.m.;21;206
OCUPACIÓN HOSPITALIZACIÓN;8/07/2020 6:00:24 a.m.;17;210
OCUPACIÓN HOSPITALIZACIÓN;9/07/2020 3:00:32 a.m.;19;207
OCUPACIÓN HOSPITALIZACIÓN;9/07/2020 6:00:14 a.m.;17;209
OCUPACIÓN HOSPITALIZACIÓN;10/07/2020 3:00:19 a.m.;15;212
OCUPACIÓN HOSPITALIZACIÓN;10/07/2020 6:00:12 a.m.;12;215
OCUPACIÓN HOSPITALIZACIÓN;11/07/2020 3:00:29 a.m.;38;189
OCUPACIÓN HOSPITALIZACIÓN;11/07/2020 6:00:30 a.m.;30;197
OCUPACIÓN HOSPITALIZACIÓN;12/07/2020 3:00:24 a.m.;40;187
OCUPACIÓN HOSPITALIZACIÓN;12/07/2020 6:00:18 a.m.;35;192
OCUPACIÓN HOSPITALIZACIÓN;13/07/2020 3:00:11 a.m.;37;190
OCUPACIÓN HOSPITALIZACIÓN;13/07/2020 6:00:25 a.m.;31;196
OCUPACIÓN HOSPITALIZACIÓN;14/07/2020 3:00:11 a.m.;37;193
OCUPACIÓN HOSPITALIZACIÓN;14/07/2020 6:00:31 a.m.;35;195
OCUPACIÓN HOSPITALIZACIÓN;15/07/2020 3:00:35 a.m.;27;203
OCUPACIÓN HOSPITALIZACIÓN;15/07/2020 6:00:17 a.m.;26;204
OCUPACIÓN HOSPITALIZACIÓN;16/07/2020 3:00:16 a.m.;21;208
OCUPACIÓN HOSPITALIZACIÓN;16/07/2020 6:00:35 a.m.;20;209
OCUPACIÓN HOSPITALIZACIÓN;17/07/2020 3:00:37 a.m.;38;191
OCUPACIÓN HOSPITALIZACIÓN;17/07/2020 6:00:35 a.m.;34;195
OCUPACIÓN HOSPITALIZACIÓN;18/07/2020 3:00:21 a.m.;36;193
OCUPACIÓN HOSPITALIZACIÓN;18/07/2020 6:00:23 a.m.;32;197
OCUPACIÓN HOSPITALIZACIÓN;19/07/2020 3:00:19 a.m.;40;189
OCUPACIÓN HOSPITALIZACIÓN;19/07/2020 6:00:33 a.m.;32;197
OCUPACIÓN HOSPITALIZACIÓN;20/07/2020 3:00:33 a.m.;38;191
